id,geometry
34,"POLYGON ((-87.78204283063803 42.01823529857762, -87.79036237021069 42.01343201016582, -87.79036237021069 42.00382543334221, -87.78204283063803 41.99902214493041, -87.77372329106538 42.00382543334221, -87.77372329106538 42.01343201016582, -87.78204283063803 42.01823529857762))"
35,"POLYGON ((-87.76540375149273 42.01823529857762, -87.77372329106538 42.01343201016582, -87.77372329106538 42.00382543334221, -87.76540375149273 41.99902214493041, -87.75708421192007 42.00382543334221, -87.75708421192007 42.01343201016582, -87.76540375149273 42.01823529857762))"
36,"POLYGON ((-87.74876467234742 42.01823529857762, -87.75708421192007 42.01343201016582, -87.75708421192007 42.00382543334221, -87.74876467234742 41.99902214493041, -87.74044513277477 42.00382543334221, -87.74044513277477 42.01343201016582, -87.74876467234742 42.01823529857762))"
37,"POLYGON ((-87.73212559320211 42.01823529857762, -87.74044513277477 42.01343201016582, -87.74044513277477 42.00382543334221, -87.73212559320211 41.99902214493041, -87.72380605362946 42.00382543334221, -87.72380605362946 42.01343201016582, -87.73212559320211 42.01823529857762))"
38,"POLYGON ((-87.71548651405681 42.01823529857762, -87.72380605362946 42.01343201016582, -87.72380605362946 42.00382543334221, -87.71548651405681 41.99902214493041, -87.70716697448415 42.00382543334221, -87.70716697448415 42.01343201016582, -87.71548651405681 42.01823529857762))"
39,"POLYGON ((-87.6988474349115 42.01823529857762, -87.70716697448415 42.01343201016582, -87.70716697448415 42.00382543334221, -87.6988474349115 41.99902214493041, -87.69052789533885 42.00382543334221, -87.69052789533885 42.01343201016582, -87.6988474349115 42.01823529857762))"
40,"POLYGON ((-87.68220835576619 42.01823529857762, -87.69052789533885 42.01343201016582, -87.69052789533885 42.00382543334221, -87.68220835576619 41.99902214493041, -87.67388881619354 42.00382543334221, -87.67388881619354 42.01343201016582, -87.68220835576619 42.01823529857762))"
41,"POLYGON ((-87.66556927662089 42.01823529857762, -87.67388881619354 42.01343201016582, -87.67388881619354 42.00382543334221, -87.66556927662089 41.99902214493041, -87.65724973704823 42.00382543334221, -87.65724973704823 42.01343201016582, -87.66556927662089 42.01823529857762))"
42,"POLYGON ((-87.64893019747558 42.01823529857762, -87.65724973704823 42.01343201016582, -87.65724973704823 42.00382543334221, -87.64893019747558 41.99902214493041, -87.64061065790293 42.00382543334221, -87.64061065790293 42.01343201016582, -87.64893019747558 42.01823529857762))"
43,"POLYGON ((-87.63229111833027 42.01823529857762, -87.64061065790293 42.01343201016582, -87.64061065790293 42.00382543334221, -87.63229111833027 41.99902214493041, -87.62397157875762 42.00382543334221, -87.62397157875762 42.01343201016582, -87.63229111833027 42.01823529857762))"
44,"POLYGON ((-87.61565203918497 42.01823529857762, -87.62397157875762 42.01343201016582, -87.62397157875762 42.00382543334221, -87.61565203918497 41.99902214493041, -87.60733249961231 42.00382543334221, -87.60733249961231 42.01343201016582, -87.61565203918497 42.01823529857762))"
45,"POLYGON ((-87.59901296003966 42.01823529857762, -87.60733249961231 42.01343201016582, -87.60733249961231 42.00382543334221, -87.59901296003966 41.99902214493041, -87.59069342046701 42.00382543334221, -87.59069342046701 42.01343201016582, -87.59901296003966 42.01823529857762))"
46,"POLYGON ((-87.58237388089435 42.01823529857762, -87.59069342046701 42.01343201016582, -87.59069342046701 42.00382543334221, -87.58237388089435 41.99902214493041, -87.5740543413217 42.00382543334221, -87.5740543413217 42.01343201016582, -87.58237388089435 42.01823529857762))"
47,"POLYGON ((-87.56573480174904 42.01823529857762, -87.5740543413217 42.01343201016582, -87.5740543413217 42.00382543334221, -87.56573480174904 41.99902214493041, -87.55741526217639 42.00382543334221, -87.55741526217639 42.01343201016582, -87.56573480174904 42.01823529857762))"
48,"POLYGON ((-87.54909572260374 42.01823529857762, -87.55741526217639 42.01343201016582, -87.55741526217639 42.00382543334221, -87.54909572260374 41.99902214493041, -87.54077618303108 42.00382543334221, -87.54077618303108 42.01343201016582, -87.54909572260374 42.01823529857762))"
