big_hexagon_id,thirtymins,harmful,not_harmful,median,mean,max,min,sum,count
65.0,2017-09-15 17:00:00,0.0,1.0,9.7,9.68385171790235,12.0,5.49,5355.169999999999,553.0
65.0,2017-09-15 17:30:00,0.0,0.0,13.95,13.919718309859155,16.81,12.08,988.3,71.0
65.0,2017-09-15 17:30:00,0.0,1.0,9.32,9.462155172413777,12.0,6.11,4390.439999999993,464.0
65.0,2017-10-13 14:00:00,0.0,0.0,12.52,12.568705882352946,13.57,12.08,1068.3400000000004,85.0
65.0,2017-10-13 14:00:00,0.0,1.0,10.82,10.815240384615382,12.0,8.87,2249.57,208.0
66.0,2017-08-02 09:30:00,0.0,0.0,17.76,17.924432234432217,22.33,15.34,4893.369999999995,273.0
66.0,2017-09-15 16:00:00,0.0,1.0,9.55,9.562962962962962,11.12,7.73,516.3999999999999,54.0
66.0,2017-09-15 17:00:00,0.0,0.0,12.82,13.38218181818182,16.56,12.08,736.0200000000002,55.0
66.0,2017-09-15 17:00:00,0.0,1.0,9.93,9.784725050916492,12.0,5.34,4804.2999999999965,491.0
66.0,2017-10-13 13:30:00,0.0,0.0,12.75,12.874285714285715,14.95,12.08,1532.0400000000004,119.0
66.0,2017-10-13 13:30:00,0.0,1.0,10.67,10.561878787878783,12.0,8.26,3485.4199999999987,330.0
66.0,2017-10-13 14:00:00,0.0,1.0,9.25,9.074615384615383,9.85,8.19,117.96999999999998,13.0
66.0,2018-01-23 18:00:00,0.0,1.0,1.32,1.2866666666666668,1.32,1.22,3.86,3.0
66.0,2019-09-06 07:30:00,0.0,1.0,7.0,7.0,7.0,7.0,35.0,5.0
67.0,2017-04-08 17:00:00,0.0,1.0,3.12,3.144343271555208,7.04,1.17,3902.130000000013,1241.0
67.0,2017-04-08 17:30:00,0.0,1.0,2.57,2.8580122836404334,10.07,0.78,5118.700000000017,1791.0
67.0,2017-04-08 18:00:00,0.0,1.0,2.91,3.0314201183431964,6.65,1.17,1024.6200000000003,338.0
67.0,2017-06-05 18:00:00,0.0,1.0,5.03,4.869756097560972,6.5,2.38,399.3199999999998,82.0
67.0,2017-06-06 09:00:00,0.0,1.0,4.2,4.226043956043955,7.73,1.38,384.5699999999998,91.0
67.0,2017-06-06 18:30:00,0.0,1.0,1.94,1.9464444444444444,2.57,1.32,175.18,90.0
67.0,2017-06-07 09:00:00,0.0,1.0,2.03,2.1389534883720933,3.12,1.48,183.95,86.0
67.0,2017-06-07 18:00:00,0.0,1.0,3.225,3.051477272727272,4.06,1.94,268.5299999999999,88.0
67.0,2017-06-08 09:00:00,0.0,1.0,7.19,7.2448809523809565,9.48,5.19,608.5700000000003,84.0
67.0,2017-06-08 18:00:00,0.0,1.0,3.33,3.407297297297297,5.19,2.12,252.14,74.0
67.0,2017-08-02 09:30:00,0.0,0.0,17.85,17.935199999999995,20.41,16.39,896.7599999999996,50.0
67.0,2019-07-02 17:30:00,0.0,0.0,13.0,13.40251572327044,14.0,13.0,2131.0,159.0
67.0,2019-07-02 17:30:00,0.0,1.0,12.0,11.515923566878982,12.0,10.0,1808.0,157.0
67.0,2019-07-02 18:00:00,0.0,0.0,13.0,13.48936170212766,15.0,13.0,1268.0,94.0
67.0,2019-07-02 18:00:00,0.0,1.0,12.0,11.381355932203391,12.0,10.0,1343.0,118.0
67.0,2019-07-02 20:00:00,0.0,0.0,13.0,13.0,13.0,13.0,39.0,3.0
67.0,2019-07-02 20:00:00,0.0,1.0,9.0,9.067924528301885,12.0,6.0,2403.0,265.0
67.0,2019-07-02 20:30:00,0.0,0.0,13.0,13.166666666666664,14.0,13.0,79.0,6.0
67.0,2019-07-02 20:30:00,0.0,1.0,8.0,8.308823529411764,12.0,5.0,5650.0,680.0
67.0,2019-09-06 07:30:00,0.0,1.0,6.0,6.1923076923076925,9.0,3.0,3542.0,572.0
77.0,2019-05-16 13:30:00,0.0,0.0,20.0,20.170212765957448,31.0,13.0,948.0,47.0
77.0,2019-05-16 13:30:00,0.0,1.0,6.0,6.508928571428571,12.0,2.0,2187.0,336.0
77.0,2019-05-16 14:00:00,0.0,1.0,1.0,0.9494444444444444,4.0,0.0,1709.0,1800.0
77.0,2019-05-16 14:30:00,0.0,1.0,2.0,1.6923076923076923,5.0,0.0,2552.0,1508.0
78.0,2019-05-16 13:00:00,0.0,1.0,2.0,2.135135135135135,4.0,1.0,158.0,74.0
78.0,2019-05-16 13:30:00,0.0,1.0,5.0,4.9230769230769225,8.0,0.0,576.0,117.0
79.0,2019-05-16 13:00:00,0.0,1.0,3.0,3.230414746543779,5.0,1.0,701.0,217.0
